columna,tipo,descripcion,ciclos
W_FSTURWT63,double,,"2015,2018,2022,2025"
W_FSTURWT64,double,,"2015,2018,2022,2025"
W_FSTURWT65,double,,"2015,2018,2022,2025"
W_FSTURWT66,double,,"2015,2018,2022,2025"
W_FSTURWT67,double,,"2015,2018,2022,2025"
W_FSTURWT68,double,,"2015,2018,2022,2025"
W_FSTURWT69,double,,"2015,2018,2022,2025"
W_FSTURWT7,double,,"2015,2018,2022,2025"
W_FSTURWT70,double,,"2015,2018,2022,2025"
W_FSTURWT71,double,,"2015,2018,2022,2025"
W_FSTURWT72,double,,"2015,2018,2022,2025"
W_FSTURWT73,double,,"2015,2018,2022,2025"
W_FSTURWT74,double,,"2015,2018,2022,2025"
W_FSTURWT75,double,,"2015,2018,2022,2025"
W_FSTURWT76,double,,"2015,2018,2022,2025"
W_FSTURWT77,double,,"2015,2018,2022,2025"
W_FSTURWT78,double,,"2015,2018,2022,2025"
W_FSTURWT79,double,,"2015,2018,2022,2025"
W_FSTURWT8,double,,"2015,2018,2022,2025"
W_FSTURWT80,double,,"2015,2018,2022,2025"
W_FSTURWT9,double,,"2015,2018,2022,2025"
W_FSTUWT,double,Peso final del alumno (pondera a la población de 15 años del país).,"2000,2003,2006,2012,2015,2018,2022,2025"
cen_admision_expediente,null,"Frecuencia con que el centro considera el expediente académico al admitir alumnado (selectividad). 2000/2009/2012/2015/2018/2022/2025 (2003/2006 usan otra escala, no comparable).","2000,2003,2006,2012,2015,2018,2022,2025"
cen_alumnos,double,Tamaño del centro: alumnado total matriculado. Todos los ciclos salvo 2025.,"2000,2003,2006,2012,2015,2018,2022,2025"
cen_alumnos_pisa,int64,"Número de alumnado PISA muestreado en el centro (composición, no tamaño oficial).","2000,2003,2006,2012,2015,2018,2022,2025"
cen_autonomia,double,Autonomía del centro (WLE 2022).,"2000,2003,2006,2012,2015,2018,2022,2025"
cen_competencia,null,Competencia con otros centros por el alumnado de la zona (director/a). Solo 2012/2015*/2018/2022/2025 (*2015 sin dato).,"2000,2003,2006,2012,2015,2018,2022,2025"
cen_comunidad,null,"Entorno del centro según tamaño del municipio (director/a). Todos los ciclos (2000-2025; en 2000-2012 con 5 categorías, sin megaciudad).","2000,2003,2006,2012,2015,2018,2022,2025"
cen_escasez_material,double,Escasez de material educativo (WLE; alto = más escasez). 2015-2025.,"2000,2003,2006,2012,2015,2018,2022,2025"
cen_escasez_personal,double,Escasez de personal docente (WLE; alto = más escasez). 2015-2025.,"2000,2003,2006,2012,2015,2018,2022,2025"
cen_escs_media,double,ESCS medio ponderado del alumnado del centro en ese ciclo.,"2000,2003,2006,2012,2015,2018,2022,2025"
cen_fin_cuotas_pct,double,% de la financiación anual de cuotas pagadas por las familias. Todos los ciclos salvo 2025.,"2000,2003,2006,2012,2015,2018,2022,2025"
cen_fin_gobierno_pct,double,% de la financiación anual del centro de fondos públicos. Todos los ciclos salvo 2025.,"2000,2003,2006,2012,2015,2018,2022,2025"
cen_liderazgo_educativo,double,Liderazgo educativo del equipo directivo (WLE 2022/2025).,"2000,2003,2006,2012,2015,2018,2022,2025"
cen_liderazgo_instruccional,double,Liderazgo instruccional (WLE 2022).,"2000,2003,2006,2012,2015,2018,2022,2025"
cen_ordenadores_alumno,double,Ordenadores disponibles por alumno. 2015/2018/2022.,"2000,2003,2006,2012,2015,2018,2022,2025"
cen_padres_inmigrantes_pct,double,% de alumnado del curso modal con padres inmigrantes según el director/a (2022).,"2000,2003,2006,2012,2015,2018,2022,2025"
cen_participacion_prof,double,Participación del profesorado en decisiones (WLE 2022).,"2000,2003,2006,2012,2015,2018,2022,2025"
cen_pct_inmigrantes,double,% ponderado del alumnado del centro de primera o segunda generación.,"2000,2003,2006,2012,2015,2018,2022,2025"
cen_pct_repetidores,double,% ponderado del alumnado del centro que ha repetido.,"2000,2003,2006,2012,2015,2018,2022,2025"
cen_profesorado_certificado,double,Proporción de profesorado con certificación completa (0-1). Todos los ciclos salvo 2006 (sin dato).,"2000,2003,2006,2012,2015,2018,2022,2025"
cen_publico,null,Centro público o privado según el director/a. Todos los ciclos.,"2000,2003,2006,2012,2015,2018,2022,2025"
cen_stratio,double,Ratio alumnos por profesor del centro (STRATIO). Todos los ciclos.,"2000,2003,2006,2012,2015,2018,2022,2025"
cen_tipo,null,"Tipo de centro: público, privado concertado o privado independiente. Todos los ciclos (SCHLTYPE/SCHTYPE).","2000,2003,2006,2012,2015,2018,2022,2025"
educacion_familiar,null,Nivel educativo más alto de los progenitores (HISCED armonizado).,"2000,2003,2006,2012,2015,2018,2022,2025"
fila_origen,int64,Fila base cero en el extracto original del ciclo.,"2000,2003,2006,2012,2015,2018,2022,2025"
lengua_casa,string,Lengua hablada en casa la mayor parte del tiempo: lengua del examen u otra (2015-2025).,"2015,2018,2022,2025"
math_exploracion,double,Media de los valores plausibles de matemáticas (exploración; nula si falta alguno). Para inferencia usa los PV individuales.,"2000,2003,2006,2012,2015,2018,2022,2025"
nivel_socioeconomico,string,Cuartil de ESCS ponderado dentro de su país y ciclo (Q1 menor - Q4 mayor).,"2000,2003,2006,2012,2015,2018,2022,2025"
numero_pv_math,int64,"Número de PV de matemáticas por diseño (5 antes de 2015, 10 después).","2000,2003,2006,2012,2015,2018,2022,2025"
numero_pv_read,int64,Número de PV de lectura por diseño.,"2000,2003,2006,2012,2015,2018,2022,2025"
numero_pv_scie,int64,Número de PV de ciencias por diseño.,"2000,2003,2006,2012,2015,2018,2022,2025"
origen,null,Estatus migratorio: Origen nativo / Primera generación / Segunda generación / Sin dato.,"2000,2003,2006,2012,2015,2018,2022,2025"
pais,string,País o economía participante (nombre en español).,"2000,2003,2006,2012,2015,2018,2022,2025"
pisa_year,int64,Ciclo PISA (2000-2025).,"2000,2003,2006,2012,2015,2018,2022,2025"
read_exploracion,double,Media de los valores plausibles de lectura (exploración).,"2000,2003,2006,2012,2015,2018,2022,2025"
repeticion,null,Ha repetido algún curso alguna vez: Repetidor / No repetidor / Sin dato.,"2000,2006,2012,2015,2018,2022,2025"
scie_exploracion,double,Media de los valores plausibles de ciencias (exploración).,"2000,2003,2006,2012,2015,2018,2022,2025"
sexo,string,"Sexo del alumnado: Varón / No varón. En 2025 (MALE) ""No varón"" no equivale exactamente a niña.","2000,2003,2006,2012,2015,2018,2022,2025"
